Symbol,Company,Weight
POOL,Pool Corporation,0.044026
LKQ,LKQ Corporation,0.043917
APA,APA Corp.,0.043652
HWM,Howmet Aerospace Inc.,0.043627
PEAK,Healthpeak Properties Inc.,0.042982
NTAP,NetApp Inc.,0.042548
TRMB,Trimble Inc.,0.042258
ESS,Essex Property Trust Inc.,0.042099
VTRS,Viatris Inc.,0.041644
PTC,PTC Inc.,0.041457
LW,Lamb Weston Holdings Inc.,0.0413
WRB,W. R. Berkley Corporation,0.041297
MKTX,MarketAxess Holdings Inc.,0.04096
EVRG,Evergy Inc.,0.040923
WDC,Western Digital Corporation,0.040902
RCL,Royal Caribbean Group,0.040872
IPG,Interpublic Group of Companies Inc.,0.040805
KIM,Kimco Realty Corporation,0.040611
AKAM,Akamai Technologies Inc.,0.040592
RE,Everest Re Group Ltd.,0.040504
IP,International Paper Company,0.0403
TYL,Tyler Technologies Inc.,0.04001
LNT,Alliant Energy Corp,0.039453
STX,Seagate Technology Holdings PLC,0.039351
MGM,MGM Resorts International,0.039128
BRO,Brown Brown Inc.,0.039003
JKHY,Jack Henry Associates Inc.,0.038584
LDOS,Leidos Holdings Inc.,0.038484
GEN,Gen Digital Inc.,0.03848
HST,Host Hotels Resorts Inc.,0.038354
SNA,Snap-on Incorporated,0.038209
PKG,Packaging Corporation of America,0.038094
HRL,Hormel Foods Corporation,0.037982
NDSN,Nordson Corporation,0.037792
CPT,Camden Property Trust,0.037772
CBOE,Cboe Global Markets Inc,0.037716
UDR,UDR Inc.,0.037684
DPZ,Domino s Pizza Inc.,0.037241
SWK,Stanley Black Decker Inc.,0.037194
TECH,Bio-Techne Corporation,0.036593
CRL,Charles River Laboratories International Inc.,0.035674
PHM,PulteGroup Inc.,0.035583
CHRW,C.H. Robinson Worldwide Inc.,0.035504
BF-B,Brown-Forman Corporation Class B,0.035368
EQT,EQT Corporation,0.035146
CE,Celanese Corporation,0.035119
HSIC,Henry Schein Inc.,0.03484
L,Loews Corporation,0.034792
PARA,Paramount Global Class B,0.034061
QRVO,Qorvo Inc.,0.03369
MAS,Masco Corporation,0.03366
LYV,Live Nation Entertainment Inc.,0.03338
TFX,Teleflex Incorporated,0.033027
KMX,CarMax Inc.,0.032593
CZR,Caesars Entertainment Inc,0.032575
NI,NiSource Inc,0.03255
CDAY,Ceridian HCM Holding Inc.,0.032549
TPR,Tapestry Inc.,0.03248
BWA,BorgWarner Inc.,0.032044
GL,Globe Life Inc.,0.031664
WYNN,Wynn Resorts Limited,0.031598
CCL,Carnival Corporation,0.031341
EMN,Eastman Chemical Company,0.031181
AAL,American Airlines Group Inc.,0.030781
FOXA,Fox Corporation Class A,0.030344
BXP,Boston Properties Inc.,0.030322
CPB,Campbell Soup Company,0.030263
JNPR,Juniper Networks Inc.,0.030142
BIO,Bio-Rad Laboratories Inc. Class A,0.029837
BBWI,Bath Body Works Inc.,0.029772
REG,Regency Centers Corporation,0.029731
ALLE,Allegion Public Limited Company,0.029684
VFC,V.F. Corporation,0.028558
UHS,Universal Health Services Inc. Class B,0.028396
WRK,WestRock Company,0.028243
TAP,Molson Coors Beverage Company Class B,0.028174
CTLT,Catalent Inc,0.027933
CMA,Comerica Incorporated,0.02793
RHI,Robert Half International Inc.,0.027437
AAP,Advance Auto Parts Inc.,0.026113
FFIV,F5 Inc.,0.025702
HII,Huntington Ingalls Industries Inc.,0.025376
PNR,Pentair plc,0.024742
WHR,Whirlpool Corporation,0.024535
BEN,Franklin Resources Inc.,0.024484
ROL,Rollins Inc.,0.024462
PNW,Pinnacle West Capital Corporation,0.024347
IVZ,Invesco Ltd.,0.024338
FRT,Federal Realty Investment Trust,0.023888
ZION,Zions Bancorporation N.A.,0.023522
XRAY,DENTSPLY SIRONA Inc.,0.023416
NWSA,News Corporation Class A,0.023403
SEE,Sealed Air Corporation,0.02325
SBNY,Signature Bank,0.023232
NRG,NRG Energy Inc.,0.023212
AOS,A. O. Smith Corporation,0.022652
OGN,Organon Co.,0.022099
HAS,Hasbro Inc.,0.02185
GNRC,Generac Holdings Inc.,0.021525
AIZ,Assurant Inc.,0.020296
DXC,DXC Technology Co.,0.018996
ALK,Alaska Air Group Inc.,0.018491
NCLH,Norwegian Cruise Line Holdings Ltd.,0.0182
MHK,Mohawk Industries Inc.,0.017714
NWL,Newell Brands Inc,0.017471
LNC,Lincoln National Corp,0.015538
RL,Ralph Lauren Corporation Class A,0.01541
LUMN,Lumen Technologies Inc.,0.014158
FOX,Fox Corporation Class B,0.013563
DVA,DaVita Inc.,0.013216
DISH,DISH Network Corporation Class A,0.010399
NWS,News Corporation Class B,0.007407
